body              time                 x                 y                vx                vy
0               0.103             2.30901            0.603401             3.00013             1.00779
1               0.103             2.79399              45.154            -2.00017             1.48961
0               0.104             2.31201            0.604409             3.00013             1.00787
1               0.104             2.79199             45.1555            -2.00017             1.48951
0               0.105             2.31501            0.605417             3.00013             1.00794
1               0.105             2.78999             45.1569            -2.00018             1.48941
0               0.106             2.31801            0.606425             3.00013             1.00802
1               0.106             2.78799             45.1584            -2.00018             1.48931
0               0.107             2.32101            0.607433             3.00013             1.00809
1               0.107             2.78599             45.1599            -2.00018             1.48921
0               0.108             2.32401            0.608441             3.00013             1.00817
1               0.108             2.78399             45.1614            -2.00018             1.48911
0               0.109             2.32701            0.609449             3.00013             1.00824
1               0.109             2.78199             45.1629            -2.00018             1.48901
0                0.11             2.33001            0.610458             3.00014             1.00832
1                0.11             2.77999             45.1644            -2.00018             1.48891
0               0.111             2.33301            0.611466             3.00014             1.00839
1               0.111             2.77799             45.1659            -2.00018             1.48881
0               0.112             2.33601            0.612474             3.00014             1.00847
1               0.112             2.77599             45.1674            -2.00018             1.48871
0               0.113             2.33901            0.613483             3.00014             1.00855
1               0.113             2.77399             45.1689            -2.00018             1.48861
0               0.114             2.34201            0.614492             3.00014             1.00862
1               0.114             2.77199             45.1703            -2.00018             1.48851
0               0.115             2.34501              0.6155             3.00014              1.0087
1               0.115             2.76999             45.1718            -2.00019              1.4884
0               0.116             2.34801            0.616509             3.00014             1.00877
1               0.116             2.76799             45.1733            -2.00019              1.4883
0               0.117             2.35101            0.617518             3.00014             1.00885
1               0.117             2.76599             45.1748            -2.00019              1.4882
0               0.118             2.35401            0.618527             3.00014             1.00892
1               0.118             2.76399             45.1763            -2.00019              1.4881
0               0.119             2.35701            0.619536             3.00014               1.009
1               0.119             2.76199             45.1778            -2.00019               1.488
0                0.12             2.36001            0.620545             3.00014             1.00907
1                0.12             2.75999             45.1793            -2.00019              1.4879
0               0.121             2.36301            0.621554             3.00014             1.00915
1               0.121             2.75799             45.1808            -2.00019              1.4878
0               0.122             2.36601            0.622563             3.00014             1.00923
1               0.122             2.75599             45.1822            -2.00019              1.4877
0               0.123             2.36901            0.623572             3.00014              1.0093
1               0.123             2.75399             45.1837            -2.00019              1.4876
0               0.124             2.37201            0.624582             3.00015             1.00938
1               0.124             2.75199             45.1852            -2.00019              1.4875
0               0.125             2.37501            0.625591             3.00015             1.00945
1               0.125             2.74999             45.1867            -2.00019              1.4874
0               0.126             2.37801              0.6266             3.00015             1.00953
1               0.126             2.74799             45.1882             -2.0002              1.4873
0               0.127             2.38101             0.62761             3.00015              1.0096
1               0.127             2.74599             45.1897             -2.0002              1.4872
0               0.128             2.38401             0.62862             3.00015             1.00968
1               0.128             2.74399             45.1912             -2.0002              1.4871
0               0.129             2.38701            0.629629             3.00015             1.00975
1               0.129             2.74199             45.1927             -2.0002             1.48699
0                0.13             2.39001            0.630639             3.00015             1.00983
1                0.13             2.73999             45.1941             -2.0002             1.48689
0               0.131             2.39301            0.631649             3.00015             1.00991
1               0.131             2.73798             45.1956             -2.0002             1.48679
0               0.132             2.39601            0.632659             3.00015             1.00998
1               0.132             2.73598             45.1971             -2.0002             1.48669
0               0.133             2.39901            0.633669             3.00015             1.01006
1               0.133             2.73398             45.1986             -2.0002             1.48659
0               0.134             2.40201            0.634679             3.00015             1.01013
1               0.134             2.73198             45.2001             -2.0002             1.48649
0               0.135             2.40501            0.635689             3.00015             1.01021
1               0.135             2.72998             45.2016             -2.0002             1.48639
0               0.136             2.40801              0.6367             3.00015             1.01028
1               0.136             2.72798             45.2031             -2.0002             1.48629
0               0.137             2.41101             0.63771             3.00015             1.01036
1               0.137             2.72598             45.2046             -2.0002             1.48619
0               0.138             2.41401             0.63872             3.00015             1.01043
1               0.138             2.72398              45.206             -2.0002             1.48609
0               0.139             2.41701            0.639731             3.00015             1.01051
